НАИМЕНОВАНИЕ;АРТИКУЛ;ИМЯ_БРЕНДА;СТРАНА_БРЕНДА;РАЗДЕЛ;КАТЕГОРИЯ;ЦЕНА;ИЗОБРАЖЕНИЕ;КОЛЛЕКЦИЯ;ОПИСАНИЕ;ХАРАКТЕРИСТИКИ
Потолочная люстра Vele Luce Licia VL1923L06;VL1923L06;Vele Luce;Италия;Люстры;Потолочные;20050;https://www.vamsvet.ru/upload/iblock/286/vamsvet-potolochnaya-lyustra-vele-luce-licia-vl1923l06.jpeg|https://www.vamsvet.ru/upload/iblock/2ba/potolochnaya-lyustra-vele-luce-licia-vl1923l06-1.jpeg|https://www.vamsvet.ru/upload/iblock/065/potolochnaya-lyustra-vele-luce-licia-vl1923l06-2.jpeg|https://www.vamsvet.ru/upload/iblock/286/vamsvet-potolochnaya-lyustra-vele-luce-licia-vl1923l06.jpeg|https://www.vamsvet.ru/upload/iblock/2ba/potolochnaya-lyustra-vele-luce-licia-vl1923l06-1.jpeg|https://www.vamsvet.ru/upload/iblock/065/potolochnaya-lyustra-vele-luce-licia-vl1923l06-2.jpeg;Licia;Незаурядная модель VL1923L06 от итальянской компании Vele Luce относится к коллекции Licia. Потолочная люстра Vele Luce Licia VL1923L06 с цилиндрическими плафонами осветит помещение площадью 13.3 кв. м. Производитель Vele Luce рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: стекло и металл. Основным цветом товара является дымчатый и хромовый. Потолочная люстра   VL1923L06 продается по цене 20050 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;Артикул:VL1923L06||Бренд:Vele Luce||Страна бренда:Италия||Страна производства:Китай||Коллекция:Licia||Стиль:Модерн||Высота, мм:420||Диаметр, мм:560||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:6||Мощность лампы, W:40||Общая мощность, W:240||Площадь освещения, м2:13.3||Напряжение, V:220-240||Виды материалов:Стеклянные||Материал арматуры:Металл||Материал плафонов:Стекло||Направление плафонов:Вверх||Вид рассеивателя:Плафон||Форма рассеивателя:Цилиндр||Цвет:Дымчатый||Цвет арматуры:Хром||Цвет плафонов:Дымчатый||Степень защиты:IP20||Место установки:На потолок||Тип подвеса:Штанга||Срок службы:5 лет||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Потолочные
Потолочная люстра Vele Luce Intenso VL1413L06;VL1413L06;Vele Luce;Италия;Люстры;Потолочные;21300;https://www.vamsvet.ru/upload/iblock/016/vamsvet-potolochnaya-lyustra-vele-luce-intenso-vl1413l06.jpeg|https://www.vamsvet.ru/upload/iblock/418/potolochnaya-lyustra-vele-luce-intenso-vl1413l06-1.jpeg|https://www.vamsvet.ru/upload/iblock/f66/potolochnaya-lyustra-vele-luce-intenso-vl1413l06-2.jpeg|https://www.vamsvet.ru/upload/iblock/8b5/potolochnaya-lyustra-vele-luce-intenso-vl1413l06-3.jpeg|https://www.vamsvet.ru/upload/iblock/016/vamsvet-potolochnaya-lyustra-vele-luce-intenso-vl1413l06.jpeg|https://www.vamsvet.ru/upload/iblock/418/potolochnaya-lyustra-vele-luce-intenso-vl1413l06-1.jpeg|https://www.vamsvet.ru/upload/iblock/f66/potolochnaya-lyustra-vele-luce-intenso-vl1413l06-2.jpeg|https://www.vamsvet.ru/upload/iblock/8b5/potolochnaya-lyustra-vele-luce-intenso-vl1413l06-3.jpeg;Intenso;Невероятная модель VL1413L06 от итальянской компании Vele Luce относится к коллекции Intenso и отлично подойдет для установки на низкий потолок спальни, оформленной в стиле модерн. Потолочная люстра Vele Luce Intenso VL1413L06 с круглыми плафонами осветит помещение площадью 16 кв. м. Производитель Vele Luce рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: стекло и металл и может использоваться для натяжного потолка. Основным цветом товара является хромовый и прозрачный. Потолочная люстра   VL1413L06 продается по цене 21300 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:VL1413L06||Бренд:Vele Luce||Страна бренда:Италия||Страна производства:Китай||Коллекция:Intenso||Стиль:Модерн||Высота, мм:270||Диаметр, мм:710||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:6||Мощность лампы, W:40||Общая мощность, W:240||Напряжение, V:220-240||Виды материалов:Стеклянные||Материал арматуры:Металл||Материал плафонов:Стекло||Направление плафонов:В стороны||Вид рассеивателя:Плафон||Форма рассеивателя:Круглый||Цвет:Хром||Цвет арматуры:Хром||Цвет плафонов:Прозрачный||Степень защиты:IP20||Интерьер:Для спальни||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Подходит для низких потолков:Да||Срок службы:5 лет||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Потолочные"
Потолочная люстра Vele Luce Licia VL1924L08;VL1924L08;Vele Luce;Италия;Люстры;Потолочные;26750;https://www.vamsvet.ru/upload/iblock/d3c/vamsvet-potolochnaya-lyustra-vele-luce-licia-vl1924l08.jpeg|https://www.vamsvet.ru/upload/iblock/39c/potolochnaya-lyustra-vele-luce-licia-vl1924l08-1.jpeg|https://www.vamsvet.ru/upload/iblock/2c6/potolochnaya-lyustra-vele-luce-licia-vl1924l08-2.jpeg|https://www.vamsvet.ru/upload/iblock/d3c/vamsvet-potolochnaya-lyustra-vele-luce-licia-vl1924l08.jpeg|https://www.vamsvet.ru/upload/iblock/39c/potolochnaya-lyustra-vele-luce-licia-vl1924l08-1.jpeg|https://www.vamsvet.ru/upload/iblock/2c6/potolochnaya-lyustra-vele-luce-licia-vl1924l08-2.jpeg;Licia;Особенная модель VL1924L08 от итальянской компании Vele Luce относится к коллекции Licia. Потолочная люстра Vele Luce Licia VL1924L08 с цилиндрическими плафонами осветит помещение площадью 17.8 кв. м. Производитель Vele Luce рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: стекло и металл. Основным цветом товара является золотой. Потолочная люстра   VL1924L08 продается по цене 26750 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;Артикул:VL1924L08||Бренд:Vele Luce||Страна бренда:Италия||Страна производства:Китай||Коллекция:Licia||Стиль:Модерн||Высота, мм:420||Диаметр, мм:650||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:8||Мощность лампы, W:40||Общая мощность, W:320||Площадь освещения, м2:17.8||Напряжение, V:220-240||Виды материалов:Стеклянные||Материал арматуры:Металл||Материал плафонов:Стекло||Направление плафонов:Вверх||Вид рассеивателя:Плафон||Форма рассеивателя:Цилиндр||Цвет арматуры:Золотой||Степень защиты:IP20||Место установки:На потолок||Тип подвеса:Штанга||Срок службы:5 лет||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Потолочные
Потолочная люстра Vele Luce Caroline VL3103L07;VL3103L07;Vele Luce;Италия;Люстры;Потолочные;49450;https://www.vamsvet.ru/upload/iblock/5df/vamsvet-potolochnaya-lyustra-vele-luce-caroline-vl3103l07.jpeg|https://www.vamsvet.ru/upload/iblock/b63/potolochnaya-lyustra-vele-luce-caroline-vl3103l07-1.jpeg|https://www.vamsvet.ru/upload/iblock/fc6/potolochnaya-lyustra-vele-luce-caroline-vl3103l07-2.jpeg|https://www.vamsvet.ru/upload/iblock/848/potolochnaya-lyustra-vele-luce-caroline-vl3103l07-3.jpeg|https://www.vamsvet.ru/upload/iblock/5a6/potolochnaya-lyustra-vele-luce-caroline-vl3103l07-4.jpeg|https://www.vamsvet.ru/upload/iblock/5df/vamsvet-potolochnaya-lyustra-vele-luce-caroline-vl3103l07.jpeg|https://www.vamsvet.ru/upload/iblock/b63/potolochnaya-lyustra-vele-luce-caroline-vl3103l07-1.jpeg|https://www.vamsvet.ru/upload/iblock/fc6/potolochnaya-lyustra-vele-luce-caroline-vl3103l07-2.jpeg|https://www.vamsvet.ru/upload/iblock/848/potolochnaya-lyustra-vele-luce-caroline-vl3103l07-3.jpeg|https://www.vamsvet.ru/upload/iblock/5a6/potolochnaya-lyustra-vele-luce-caroline-vl3103l07-4.jpeg;Caroline;Выдающаяся модель VL3103L07 от итальянской компании Vele Luce относится к коллекции Caroline и отлично подойдет для установки на потолок спальни, оформленной в дизайнерском стиле. Потолочная люстра Vele Luce Caroline VL3103L07 осветит помещение площадью 12 кв. м. Производитель Vele Luce рекомендует использовать для устройства лампы накаливания с цоколем E27 и мощностью 40 W. Прибор произведен с использованием материалов: металл и хрусталь. Основным цветом товара является хромовый и прозрачный. Потолочная люстра   VL3103L07 продается по цене 49450 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;Артикул:VL3103L07||Бренд:Vele Luce||Страна бренда:Италия||Страна производства:Китай||Коллекция:Caroline||Стиль:Дизайнерский||Высота, мм:290||Диаметр, мм:485||Тип цоколя:E27||Тип цоколя (дополнительный):E14||Тип лампочки (основной):Накаливания||Тип лампочки (дополнительный):Накаливания||Количество ламп:7||Мощность лампы, W:40||Общая мощность, W:300||Площадь освещения, м2:12||Напряжение, V:220-240||Виды материалов:Металлические||Материал арматуры:Металл||Материал плафонов:Хрусталь||Вид рассеивателя:Плафон||Цвет:Хром||Цвет арматуры:Хром||Цвет плафонов:Прозрачный||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для спальни||Место установки:На потолок||Тип крепления:Распорный механизм, винты||Срок службы:5 лет||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Потолочные
Потолочная люстра Odeon Light Candy 4861/5C;4861/5C;Odeon Light;Италия;Люстры;Потолочные;38380;https://www.vamsvet.ru/upload/iblock/a5d/vamsvet-potolochnaya-lyustra-odeon-light-candy-4861-5c.jpeg|https://www.vamsvet.ru/upload/iblock/7a5/potolochnaya-lyustra-odeon-light-candy-4861-5c-1.jpeg|https://www.vamsvet.ru/upload/iblock/5fe/potolochnaya-lyustra-odeon-light-candy-4861-5c-2.jpeg|https://www.vamsvet.ru/upload/iblock/62f/potolochnaya-lyustra-odeon-light-candy-4861-5c-3.jpeg|https://www.vamsvet.ru/upload/iblock/775/2c75ef5e-476c-11eb-80d8-ac1f6bbcde7f5.jpeg|https://www.vamsvet.ru/upload/iblock/a5d/vamsvet-potolochnaya-lyustra-odeon-light-candy-4861-5c.jpeg|https://www.vamsvet.ru/upload/iblock/7a5/potolochnaya-lyustra-odeon-light-candy-4861-5c-1.jpeg|https://www.vamsvet.ru/upload/iblock/5fe/potolochnaya-lyustra-odeon-light-candy-4861-5c-2.jpeg|https://www.vamsvet.ru/upload/iblock/62f/potolochnaya-lyustra-odeon-light-candy-4861-5c-3.jpeg|https://www.vamsvet.ru/upload/iblock/775/2c75ef5e-476c-11eb-80d8-ac1f6bbcde7f5.jpeg;Classic;Неповторимая модель 4861/5C от итальянской компании Odeon Light относится к коллекции Classic и отлично подойдет для установки на потолок спальни, оформленной в стиле модерн. Потолочная люстра Odeon Light Candy 4861/5C с овальными плафонами осветит помещение площадью 11.1 кв. м. Производитель Odeon Light рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: стекло и металл и может использоваться для натяжного потолка. Основным цветом товара является разноцветный, золотой и белый. Потолочная люстра  Candy 4861/5C продается по цене 38380 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:4861/5C||Бренд:Odeon Light||Страна бренда:Италия||Коллекция:Classic||Серия:Candy||Стиль:Модерн||Высота, мм:455||Диаметр, мм:710||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:5||Мощность лампы, W:40||Общая мощность, W:200||Площадь освещения, м2:11.1||Напряжение, V:220-240||Виды материалов:Стеклянные||Материал арматуры:Металл||Материал плафонов:Стекло||Направление плафонов:Вниз||Вид рассеивателя:Плафон||Форма рассеивателя:Овал||Цвет:Разноцветный||Цвет арматуры:Золотой||Цвет плафонов:Белый||Цвет декора:Разноцветный||Степень защиты:IP20||Интерьер:Для спальни||Место установки:На потолок||Тип крепления:На планку||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Гарантия производителя:2,5 года||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Потолочные"
Потолочная люстра Odeon Light Ameli 2252/3C;2252/3C;Odeon Light;Италия;Люстры;Потолочные;12330;https://www.vamsvet.ru/upload/iblock/3fe/vamsvet-potolochnaya-lyustra-odeon-light-ameli-2252-3c.jpeg|https://www.vamsvet.ru/upload/iblock/16f/potolochnaya-lyustra-odeon-light-ameli-2252-3c-1.jpeg|https://www.vamsvet.ru/upload/iblock/8e2/potolochnaya-lyustra-odeon-light-ameli-2252-3c-2.jpeg|https://www.vamsvet.ru/upload/iblock/e7b/potolochnaya-lyustra-odeon-light-ameli-2252-3c-3.jpeg|https://www.vamsvet.ru/upload/iblock/3fe/vamsvet-potolochnaya-lyustra-odeon-light-ameli-2252-3c.jpeg|https://www.vamsvet.ru/upload/iblock/16f/potolochnaya-lyustra-odeon-light-ameli-2252-3c-1.jpeg|https://www.vamsvet.ru/upload/iblock/8e2/potolochnaya-lyustra-odeon-light-ameli-2252-3c-2.jpeg|https://www.vamsvet.ru/upload/iblock/e7b/potolochnaya-lyustra-odeon-light-ameli-2252-3c-3.jpeg;Country;Изящная модель 2252/3C от итальянской компании Odeon Light относится к коллекции Country и отлично подойдет для установки на низкий потолок в гостиной, оформленной в стиле флористика. Потолочная люстра Odeon Light Ameli 2252/3C с плафонами в форме цветков осветит помещение площадью 10 кв. м. Производитель Odeon Light рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 60 W. Прибор произведен с использованием материалов: стекло и металл и может использоваться для натяжного потолка. Основным цветом товара является белый и разноцветный. Потолочная люстра  Ameli 2252/3C продается по цене 12330 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:2252/3C||Бренд:Odeon Light||Страна бренда:Италия||Коллекция:Country||Серия:Ameli||Стиль:Флористика||Высота, мм:130||Диаметр, мм:380||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:3||Мощность лампы, W:60||Общая мощность, W:180||Площадь освещения, м2:10||Напряжение, V:220-240||Виды материалов:Стеклянные||Материал арматуры:Металл||Материал плафонов:Стекло||Направление плафонов:В стороны||Вид рассеивателя:Плафон||Форма рассеивателя:Флористика||Цвет:Белый||Цвет арматуры:Разноцветный||Цвет плафонов:Белый||Цвет декора:Разноцветный||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Подходит для низких потолков:Да||Пульт ДУ:Нет||Гарантия производителя:2,5 года||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Потолочные"
Потолочная люстра Lightstar Turbio 754166;754166;Lightstar;Италия;Люстры;Потолочные;22005;https://www.vamsvet.ru/upload/iblock/6ad/vamsvet-potolochnaya-lyustra-lightstar-turbio-754166.jpeg|https://www.vamsvet.ru/upload/iblock/63b/potolochnaya-lyustra-lightstar-turbio-754166-1.jpeg|https://www.vamsvet.ru/upload/iblock/f27/potolochnaya-lyustra-lightstar-turbio-754166-2.jpeg|https://www.vamsvet.ru/upload/iblock/320/potolochnaya-lyustra-lightstar-turbio-754166-3.jpeg|https://www.vamsvet.ru/upload/iblock/0ea/potolochnaya-lyustra-lightstar-turbio-754166-4.jpeg|https://www.vamsvet.ru/upload/iblock/6ad/vamsvet-potolochnaya-lyustra-lightstar-turbio-754166.jpeg|https://www.vamsvet.ru/upload/iblock/63b/potolochnaya-lyustra-lightstar-turbio-754166-1.jpeg|https://www.vamsvet.ru/upload/iblock/f27/potolochnaya-lyustra-lightstar-turbio-754166-2.jpeg|https://www.vamsvet.ru/upload/iblock/320/potolochnaya-lyustra-lightstar-turbio-754166-3.jpeg|https://www.vamsvet.ru/upload/iblock/0ea/potolochnaya-lyustra-lightstar-turbio-754166-4.jpeg;Turbio;Неповторимая модель 754166 от итальянской компании Lightstar относится к коллекции Turbio и отлично подойдет для установки на потолок спальни, оформленной в стиле хай-тек. Потолочная люстра Lightstar Turbio 754166 с плафонами в форме цветков осветит помещение площадью 13.3 кв. м. Производитель Lightstar рекомендует использовать для устройства галогеновые лампы с цоколем G9 и мощностью 6 W. Прибор произведен с использованием материала: металл и может использоваться для натяжного потолка. Основным цветом товара является белый. Потолочная люстра   754166 продается по цене 22005 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:754166||Бренд:Lightstar||Страна бренда:Италия||Страна производства:Китай||Коллекция:Turbio||Стиль:Хай-тек||Высота, мм:350||Диаметр, мм:700||Высота встраиваемой части, мм:40||Диаметр врезного отверстия, мм:200||Тип цоколя:G9||Тип лампочки (основной):Галогеновая||Количество ламп:6||Мощность лампы, W:6||Общая мощность, W:36||Площадь освещения, м2:13.3||Напряжение, V:220-240||Виды материалов:Металлические||Материал арматуры:Металл||Материал плафонов:Металл||Вид рассеивателя:Декоративный||Форма рассеивателя:Флористика||Цвет:Белый||Цвет арматуры:Белый||Цвет плафонов:Белый||Степень защиты:IP20||Интерьер:Для спальни||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Потолочные"
Потолочная люстра ST Luce Limano SL1203.402.06;SL1203.402.06;ST Luce;Италия;Люстры;Потолочные;22250;https://www.vamsvet.ru/upload/iblock/d0b/vamsvet-potolochnaya-lyustra-st-luce-limano-sl1203-402-06.jpeg|https://www.vamsvet.ru/upload/iblock/abc/potolochnaya-lyustra-st-luce-limano-sl1203-402-06-1.jpeg|https://www.vamsvet.ru/upload/iblock/d31/potolochnaya-lyustra-st-luce-limano-sl1203-402-06-2.jpeg|https://www.vamsvet.ru/upload/iblock/17d/potolochnaya-lyustra-st-luce-limano-sl1203-402-06-3.jpeg|https://www.vamsvet.ru/upload/iblock/c69/potolochnaya-lyustra-st-luce-limano-sl1203-402-06-4.jpeg|https://www.vamsvet.ru/upload/iblock/d0b/vamsvet-potolochnaya-lyustra-st-luce-limano-sl1203-402-06.jpeg|https://www.vamsvet.ru/upload/iblock/abc/potolochnaya-lyustra-st-luce-limano-sl1203-402-06-1.jpeg|https://www.vamsvet.ru/upload/iblock/d31/potolochnaya-lyustra-st-luce-limano-sl1203-402-06-2.jpeg|https://www.vamsvet.ru/upload/iblock/17d/potolochnaya-lyustra-st-luce-limano-sl1203-402-06-3.jpeg|https://www.vamsvet.ru/upload/iblock/c69/potolochnaya-lyustra-st-luce-limano-sl1203-402-06-4.jpeg;Limano;Феноменальная модель SL1203.402.06 от итальянской компании ST Luce относится к коллекции Limano и отлично подойдет для установки на низкий потолок кухни, оформленной в скандинавском стиле. Потолочная люстра ST Luce Limano SL1203.402.06 с плафонами в виде шаров осветит помещение площадью 13.3 кв. м. Производитель ST Luce рекомендует использовать для устройства лампы накаливания с цоколем E27 и мощностью 40 W. Прибор произведен с использованием материалов: стекло и металл и может использоваться для натяжного потолка. Основным цветом товара является белый и черный. Потолочная люстра   SL1203.402.06 продается по цене 22250 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:SL1203.402.06||Бренд:ST Luce||Страна бренда:Италия||Страна производства:Китай||Коллекция:Limano||Стиль:Скандинавский||Высота, мм:320||Диаметр, мм:880||Тип цоколя:E27||Тип лампочки (основной):Накаливания||Количество ламп:6||Мощность лампы, W:40||Общая мощность, W:240||Площадь освещения, м2:13.3||Напряжение, V:220-240||Виды материалов:Стеклянные||Материал арматуры:Металл||Материал плафонов:Стекло||Направление плафонов:В стороны||Вид рассеивателя:Плафон||Форма рассеивателя:Шар||Цвет:Белый||Цвет арматуры:Черный||Цвет плафонов:Белый||Степень защиты:IP20||Интерьер:Для кухни||Место установки:На потолок||Тип крепления:На планку||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Подходит для низких потолков:Да||Гарантия производителя:3 года||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Потолочные"
Потолочная люстра ST Luce Veroli SL1207.402.06;SL1207.402.06;ST Luce;Италия;Люстры;Потолочные;13810;https://www.vamsvet.ru/upload/iblock/327/vamsvet-potolochnaya-lyustra-st-luce-veroli-sl1207-402-06.jpeg|https://www.vamsvet.ru/upload/iblock/cf3/potolochnaya-lyustra-st-luce-veroli-sl1207-402-06-1.jpeg|https://www.vamsvet.ru/upload/iblock/327/vamsvet-potolochnaya-lyustra-st-luce-veroli-sl1207-402-06.jpeg|https://www.vamsvet.ru/upload/iblock/cf3/potolochnaya-lyustra-st-luce-veroli-sl1207-402-06-1.jpeg;Veroli;Незаурядная модель SL1207.402.06 от итальянской компании ST Luce относится к коллекции Veroli и отлично подойдет для установки на низкий потолок в гостиной, оформленной в стиле хай-тек. Потолочная люстра ST Luce Veroli SL1207.402.06 с цилиндрическими плафонами осветит помещение площадью 21 кв. м. Производитель ST Luce рекомендует использовать для устройства светодиодные лампы с цоколем GU10 и мощностью 7 W. Прибор произведен с использованием материала: металл и может использоваться для натяжного потолка. В комплект поставки входят также лампы. Основным цветом товара является латунный и черный. Потолочная люстра   SL1207.402.06 продается по цене 13810 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:SL1207.402.06||Бренд:ST Luce||Страна бренда:Италия||Страна производства:Китай||Коллекция:Veroli||Стиль:Хай-тек||Ширина, мм:400||Высота, мм:120||Длина, мм:750||Тип цоколя:GU10||Тип лампочки (основной):Светодиодная||Количество ламп:6||Мощность лампы, W:7||Общая мощность, W:42||Площадь освещения, м2:21||Лампы в комплекте:Да||Напряжение, V:220-240||Виды материалов:Металлические||Материал арматуры:Металл||Материал плафонов:Металл||Направление плафонов:Вниз||Вид рассеивателя:Плафон||Форма рассеивателя:Цилиндр||Цвет:Латунь||Цвет арматуры:Черный||Цвет плафонов:Латунь||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На потолок||Тип крепления:На планку||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Подходит для низких потолков:Да||Гарантия производителя:3 года||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Потолочные"
Потолочная люстра ST Luce Sospiro SL432.152.06;SL432.152.06;ST Luce;Италия;Люстры;Потолочные;21240;https://www.vamsvet.ru/upload/iblock/d00/vamsvet-potolochnaya-lyustra-st-luce-sospiro-sl432-152-06.jpeg;Sospiro;Изысканная модель SL432.152.06 от итальянской компании ST Luce относится к коллекции Sospiro и отлично подойдет для установки на низкий потолок детской, оформленной в дизайнерском стиле. Потолочная люстра ST Luce Sospiro SL432.152.06 с круглыми плафонами осветит помещение площадью 10 кв. м. Производитель ST Luce рекомендует использовать для устройства галогеновые лампы с цоколем G9 и мощностью 28 W. Прибор произведен с использованием материалов: стекло и металл и может использоваться для натяжного потолка. В комплект поставки входят также лампы. Основным цветом товара является разноцветный и хромовый. Потолочная люстра   SL432.152.06 продается по цене 21240 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:SL432.152.06||Бренд:ST Luce||Страна бренда:Италия||Страна производства:Китай||Коллекция:Sospiro||Стиль:Дизайнерский||Высота, мм:320||Диаметр, мм:500||Тип цоколя:G9||Тип лампочки (основной):Галогеновая||Количество ламп:6||Мощность лампы, W:28||Общая мощность, W:168||Площадь освещения, м2:10||Световой поток, lm:1368||Цветовая температура:4000K||Лампы в комплекте:Да||Напряжение, V:220-240||Виды материалов:Стеклянные||Материал арматуры:Металл||Материал плафонов:Стекло||Направление плафонов:В стороны||Вид рассеивателя:Плафон||Форма рассеивателя:Круглый||Цвет:Разноцветный||Цвет арматуры:Хром||Цвет плафонов:Разноцветный||Цвет декора:Разноцветный||Степень защиты:IP20||Интерьер:Для детской||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Подходит для низких потолков:Да||Пульт ДУ:Нет||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Потолочные"
