НАИМЕНОВАНИЕ;АРТИКУЛ;ИМЯ_БРЕНДА;СТРАНА_БРЕНДА;РАЗДЕЛ;КАТЕГОРИЯ;ЦЕНА;ИЗОБРАЖЕНИЕ;КОЛЛЕКЦИЯ;ОПИСАНИЕ;ХАРАКТЕРИСТИКИ
Подвесная люстра Bohemia Ivele 72102/8+4/210/2d A GB;72102/8+4/210/2d A GB;Bohemia Ivele;Чехия;Люстры;Подвесные;130063;https://www.vamsvet.ru/upload/iblock/0e1/vamsvet-podvesnaya-lyustra-bohemia-ivele-72102-8-4-210-2d-a-gb.jpeg|https://www.vamsvet.ru/upload/iblock/234/podvesnaya-lyustra-bohemia-ivele-72102-8-4-210-2d-a-gb-1.jpeg|https://www.vamsvet.ru/upload/iblock/0e1/vamsvet-podvesnaya-lyustra-bohemia-ivele-72102-8-4-210-2d-a-gb.jpeg|https://www.vamsvet.ru/upload/iblock/234/podvesnaya-lyustra-bohemia-ivele-72102-8-4-210-2d-a-gb-1.jpeg;7202;Необыкновенная модель 72102/8+4/210/2d A GB от чешской компании Bohemia Ivele относится к коллекции 7202. Подвесная люстра Bohemia Ivele 72102/8+4/210/2d A GB без плафонов осветит помещение площадью 26.7 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и латунь и может использоваться для натяжного потолка. Основным цветом товара является золотой. Подвесная люстра 72102/8+4/210/2d A GB продается по цене 130063 руб, с дисконтом 12% - ваша выгода при покупке составит 17736 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:72102/8+4/210/2d A GB||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:7202||Стиль:Классика||Высота, мм:660||Диаметр, мм:680||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Тип лампочки (дополнительный):Светодиодная||Количество ламп:12||Мощность лампы, W:40||Общая мощность, W:480||Площадь освещения, м2:26.7||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Латунь||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Золотой||Цвет арматуры:Золотой||Цвет декора:Прозрачный||Степень защиты:IP20||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele AL78101/6/175 A PD;AL78101/6/175 A PD;Bohemia Ivele;Чехия;Люстры;Подвесные;35276;https://www.vamsvet.ru/upload/iblock/b2e/vamsvet-podvesnaya-lyustra-bohemia-ivele-al78101-6-175-a-pd.jpeg|https://www.vamsvet.ru/upload/iblock/dbd/podvesnaya-lyustra-bohemia-ivele-al78101-6-175-a-pd-1.jpeg|https://www.vamsvet.ru/upload/iblock/d4f/podvesnaya-lyustra-bohemia-ivele-al78101-6-175-a-pd-2.jpeg|https://www.vamsvet.ru/upload/iblock/ba6/podvesnaya-lyustra-bohemia-ivele-al78101-6-175-a-pd-3.jpeg|https://www.vamsvet.ru/upload/iblock/961/podvesnaya-lyustra-bohemia-ivele-al78101-6-175-a-pd-4.jpeg|https://www.vamsvet.ru/upload/iblock/258/podvesnaya-lyustra-bohemia-ivele-al78101-6-175-a-pd-5.jpeg|https://www.vamsvet.ru/upload/iblock/b2e/vamsvet-podvesnaya-lyustra-bohemia-ivele-al78101-6-175-a-pd.jpeg|https://www.vamsvet.ru/upload/iblock/dbd/podvesnaya-lyustra-bohemia-ivele-al78101-6-175-a-pd-1.jpeg|https://www.vamsvet.ru/upload/iblock/d4f/podvesnaya-lyustra-bohemia-ivele-al78101-6-175-a-pd-2.jpeg|https://www.vamsvet.ru/upload/iblock/ba6/podvesnaya-lyustra-bohemia-ivele-al78101-6-175-a-pd-3.jpeg|https://www.vamsvet.ru/upload/iblock/961/podvesnaya-lyustra-bohemia-ivele-al78101-6-175-a-pd-4.jpeg|https://www.vamsvet.ru/upload/iblock/258/podvesnaya-lyustra-bohemia-ivele-al78101-6-175-a-pd-5.jpeg;AL7801;Изящная модель AL78101/6/175 A PD от чешской компании Bohemia Ivele относится к коллекции AL7801 и отлично подойдет для установки на потолок спальни, оформленной в классическом стиле. Подвесная люстра Bohemia Ivele AL78101/6/175 A PD без плафонов осветит помещение площадью 16 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является коричневый. Подвесная люстра AL78101/6/175 A PD продается по цене 35276 руб, с дисконтом 12% - ваша выгода при покупке составит 4810 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:AL78101/6/175 A PD||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:AL7801||Стиль:Классика||Высота, мм:460||Диаметр, мм:580||Вес, кг:5||Регулировка по высоте:Да||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:6||Мощность лампы, W:40||Общая мощность, W:240||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Отсутствует||Форма рассеивателя:Без плафона||Цвет:Коричневый||Цвет арматуры:Коричневый||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для спальни||Место установки:На потолок||Тип крепления:На крюк||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 1410/10+5/195/h-74/2d G V7010;1410/10+5/195/h-74/2d G V7010;Bohemia Ivele;Чехия;Люстры;Подвесные;62666;https://www.vamsvet.ru/upload/iblock/368/vamsvet-podvesnaya-lyustra-bohemia-ivele-1410-10-5-195-h-74-2d-g-v7010.jpeg;1410;Неповторимая модель 1410/10+5/195/h-74/2d G V7010 от чешской компании Bohemia Ivele относится к коллекции 1410 и отлично подойдет для установки на потолок в гостиной, оформленной в классическом стиле. Подвесная люстра Bohemia Ivele 1410/10+5/195/h-74/2d G V7010 без плафонов осветит помещение площадью 40 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является розовый и золотой. Подвесная люстра 1410/10+5/195/h-74/2d G V7010 продается по цене 62666 руб, с дисконтом 12% - ваша выгода при покупке составит 8545 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:1410/10+5/195/h-74/2d G V7010||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:1410||Стиль:Классика||Высота, мм:740||Диаметр, мм:590||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:15||Мощность лампы, W:40||Общая мощность, W:600||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Розовый||Цвет арматуры:Золотой||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Пульт ДУ:Нет||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 1402/16/300/h-90 Pa;1402/16/300/h-90 Pa;Bohemia Ivele;Чехия;Люстры;Подвесные;90590;https://www.vamsvet.ru/upload/iblock/5d2/vamsvet-podvesnaya-lyustra-bohemia-ivele-1402-16-300-h-90-pa.jpeg;1402;Необыкновенная модель 1402/16/300/h-90 Pa от чешской компании Bohemia Ivele относится к коллекции 1402 и отлично подойдет для установки на потолок больших залов, оформленных в классическом стиле. Подвесная люстра Bohemia Ivele 1402/16/300/h-90 Pa без плафонов осветит помещение площадью 35.6 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является желтый. Подвесная люстра 1402/16/300/h-90 Pa продается по цене 90590 руб, с дисконтом 12% - ваша выгода при покупке составит 12353 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:1402/16/300/h-90 Pa||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:1402||Стиль:Классика||Высота, мм:900||Диаметр, мм:870||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:16||Мощность лампы, W:40||Общая мощность, W:640||Площадь освещения, м2:35.6||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Желтый||Цвет арматуры:Желтый||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для больших залов||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Пульт ДУ:Нет||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 1406/16+8/360 G;1406/16+8/360 G;Bohemia Ivele;Чехия;Люстры;Подвесные;134918;https://www.vamsvet.ru/upload/iblock/db9/vamsvet-podvesnaya-lyustra-bohemia-ivele-1406-16-8-360-g.jpeg;1406;Необыкновенная модель 1406/16+8/360 G от чешской компании Bohemia Ivele относится к коллекции 1406 и отлично подойдет для установки на потолок больших залов, оформленных в классическом стиле. Подвесная люстра Bohemia Ivele 1406/16+8/360 G без плафонов осветит помещение площадью 53.3 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является золотой. Подвесная люстра 1406/16+8/360 G продается по цене 134918 руб, с дисконтом 12% - ваша выгода при покупке составит 18398 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:1406/16+8/360 G||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:1406||Стиль:Классика||Высота, мм:600||Диаметр, мм:1000||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:24||Мощность лампы, W:40||Общая мощность, W:960||Площадь освещения, м2:53.3||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Золотой||Цвет арматуры:Золотой||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для больших залов||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Пульт ДУ:Нет||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 1411/6/195 G;1411/6/195 G;Bohemia Ivele;Чехия;Люстры;Подвесные;36179;https://www.vamsvet.ru/upload/iblock/3a1/vamsvet-podvesnaya-lyustra-bohemia-ivele-1411-6-195-g.jpeg;1411;Уникальная модель 1411/6/195 G от чешской компании Bohemia Ivele относится к коллекции 1411 и отлично подойдет для установки на потолок спальни, оформленной в классическом стиле. Подвесная люстра Bohemia Ivele 1411/6/195 G без плафонов осветит помещение площадью 13.3 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является золотой. Подвесная люстра 1411/6/195 G продается по цене 36179 руб, с дисконтом 12% - ваша выгода при покупке составит 4934 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:1411/6/195 G||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:1411||Стиль:Классика||Высота, мм:450||Диаметр, мм:570||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:6||Мощность лампы, W:40||Общая мощность, W:240||Площадь освещения, м2:13.3||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Золотой||Цвет арматуры:Золотой||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для спальни||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Пульт ДУ:Нет||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 1413/6/165 G;1413/6/165 G;Bohemia Ivele;Чехия;Люстры;Подвесные;33328;https://www.vamsvet.ru/upload/iblock/38d/vamsvet-podvesnaya-lyustra-bohemia-ivele-1413-6-165-g.jpeg;1413;Незаурядная модель 1413/6/165 G от чешской компании Bohemia Ivele относится к коллекции 1413 и отлично подойдет для установки на потолок спальни, оформленной в классическом стиле. Подвесная люстра Bohemia Ivele 1413/6/165 G без плафонов осветит помещение площадью 13.3 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является золотой. Подвесная люстра 1413/6/165 G продается по цене 33328 руб, с дисконтом 12% - ваша выгода при покупке составит 4545 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:1413/6/165 G||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:1413||Стиль:Классика||Высота, мм:360||Диаметр, мм:500||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:6||Мощность лампы, W:40||Общая мощность, W:240||Площадь освещения, м2:13.3||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Золотой||Цвет арматуры:Золотой||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для спальни||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Пульт ДУ:Нет||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 1403/12+6/300/h-100/2d Ni;1403/12+6/300/h-100/2d Ni;Bohemia Ivele;Чехия;Люстры;Подвесные;128269;https://www.vamsvet.ru/upload/iblock/dc5/vamsvet-podvesnaya-lyustra-bohemia-ivele-1403-12-6-300-h-100-2d-ni.jpeg;1403;Особенная модель 1403/12+6/300/h-100/2d Ni от чешской компании Bohemia Ivele относится к коллекции 1403 и отлично подойдет для установки на потолок больших залов, оформленных в классическом стиле. Подвесная люстра Bohemia Ivele 1403/12+6/300/h-100/2d Ni без плафонов осветит помещение площадью 48 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является никелевый. Подвесная люстра 1403/12+6/300/h-100/2d Ni продается по цене 128269 руб, с дисконтом 12% - ваша выгода при покупке составит 17491 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:1403/12+6/300/h-100/2d Ni||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:1403||Стиль:Классика||Высота, мм:1000||Диаметр, мм:870||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:18||Мощность лампы, W:40||Общая мощность, W:720||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Никель||Цвет арматуры:Никель||Цвет декора:Прозрачный||Тип поверхности:Матовая||Степень защиты:IP20||Интерьер:Для больших залов||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Пульт ДУ:Нет||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 1409/3/160 Ni;1409/3/160 Ni;Bohemia Ivele;Чехия;Люстры;Подвесные;26500;https://www.vamsvet.ru/upload/iblock/8de/vamsvet-podvesnaya-lyustra-bohemia-ivele-1409-3-160-ni.jpeg;1409;Незаурядная модель 1409/3/160 Ni от чешской компании Bohemia Ivele относится к коллекции 1409 и отлично подойдет для установки на потолок прихожей, оформленной в классическом стиле. Подвесная люстра Bohemia Ivele 1409/3/160 Ni без плафонов осветит помещение площадью 8 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является никелевый. Подвесная люстра 1409/3/160 Ni продается по цене 26500 руб, с дисконтом 12% - ваша выгода при покупке составит 3614 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:1409/3/160 Ni||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:1409||Стиль:Классика||Высота, мм:410||Диаметр, мм:460||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:3||Мощность лампы, W:40||Общая мощность, W:120||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Никель||Цвет арматуры:Никель||Цвет декора:Прозрачный||Тип поверхности:Матовая||Степень защиты:IP20||Интерьер:Для прихожей||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Пульт ДУ:Нет||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 1415/12+6/220/XL-86 G;1415/12+6/220/XL-86 G;Bohemia Ivele;Чехия;Люстры;Подвесные;84698;https://www.vamsvet.ru/upload/iblock/aff/vamsvet-podvesnaya-lyustra-bohemia-ivele-1415-12-6-220-xl-86-g.jpeg;1415;Изумительная модель 1415/12+6/220/XL-86 G от чешской компании Bohemia Ivele относится к коллекции 1415 и отлично подойдет для установки на потолок в гостиной, оформленной в классическом стиле. Подвесная люстра Bohemia Ivele 1415/12+6/220/XL-86 G без плафонов осветит помещение площадью 40 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является золотой. Подвесная люстра 1415/12+6/220/XL-86 G продается по цене 84698 руб, с дисконтом 12% - ваша выгода при покупке составит 11550 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:1415/12+6/220/XL-86 G||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:1415||Стиль:Классика||Высота, мм:860||Диаметр, мм:620||Длина подвеса, мм:350||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:18||Мощность лампы, W:40||Общая мощность, W:720||Площадь освещения, м2:40||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Золотой||Цвет арматуры:Золотой||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
